iter	RMSE
0	108454.4202
1	102334.8626
2	96697.82234
3	91718.62437
4	87498.56421
5	83722.05996
6	80493.75299
7	77565.42662
8	75062.60458
9	72833.50766
10	70937.41706
11	69052.95735
12	67452.15575
13	65988.52644
14	64733.19453
15	63708.79744
16	62768.64832
17	61930.81589
18	60987.05391
19	60235.22663
20	59544.5277
21	58741.90429
22	58240.72254
23	57681.91815
24	57243.35916
25	56817.8638
26	56333.97949
27	55913.52111
28	55552.99523
29	55301.7702
30	54754.24525
31	54429.76516
32	54121.67141
33	53934.54759
34	53798.4382
35	53563.12332
36	53256.53828
37	52981.16333
38	52761.83991
39	52581.20739
40	52386.1306
41	52115.9498
42	52022.40975
43	51856.74605
44	51727.91826
45	51540.7939
46	51404.90944
47	51288.89577
48	51116.1637
49	50967.86306
50	50712.91118
51	50609.84283
52	50505.89252
53	50409.0874
54	50203.42704
55	50107.91753
56	49902.54264
57	49692.23047
58	49505.78435
59	49423.09507
60	49304.38051
61	49230.22557
62	49091.65862
63	48976.54091
64	48866.73049
65	48788.75036
66	48601.50881
67	48520.40677
68	48437.02367
69	48358.04343
70	48226.816
71	48140.99327
72	48058.60092
73	47948.89899
74	47811.83248
75	47715.29858
76	47625.41804
77	47537.72611
78	47430.48351
79	47324.00714
80	47229.26066
81	47145.56124
82	47039.76951
83	46931.14182
84	46792.49136
85	46730.7668
86	46651.62152
87	46561.55543
8
88	45228.8568
89	45170.39408
