iter	Passed	Remaining
0	96	28704
1	188	28090
2	277	27477
3	360	26661
4	451	26651
5	542	26562
6	634	26568
7	715	26109
8	798	25812
9	885	25667
10	983	25836
11	1088	26135
12	1187	26213
13	1271	25972
14	1353	25716
15	1450	25748
16	1533	25532
17	1622	25423
18	1704	25211
19	1791	25087
20	1896	25191
21	1989	25136
22	2066	24892
23	2143	24655
24	2220	24424
25	2304	24288
26	2408	24354
27	2491	24205
28	2575	24066
29	2663	23972
30	2752	23881
31	2849	23860
32	2935	23750
33	3014	23583
34	3092	23415
35	3174	23278
36	3264	23207
37	3352	23114
38	3443	23045
39	3537	22995
40	3637	22976
41	3718	22839
42	3800	22714
43	3889	22627
44	3983	22573
45	4064	22444
46	4144	22308
47	4230	22211
48	4325	22159
49	4409	22049
50	4493	21938
51	4586	21873
52	4674	21783
53	4756	21670
54	4849	21602
55	4933	21494
56	5030	21447
57	5111	21329
58	5208	21276
59	5302	21211
60	5410	21198
61	5499	21110
62	5585	21010
63	5668	20903
64	5758	20819
65	5852	20750
66	5940	20659
67	6043	20618
68	6139	20553
69	6234	20483
70	6334	20430
71	6441	20397
72	6546	20358
73	6641	20282
74	6735	20205
75	6824	20115
76	6918	20038
77	7016	19970
78	7115	19906
79	7200	19801
80	7292	19717
81	7388	19641
82	7487	19576
83	7581	19495
84	7674	19410
85	7780	19361
86	7893	19326
87	8309	20017
88	8025	19026
89	8441	19695
